Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"403847663186",Portable Outdoor Gas Camping Stove Cooking System For Camping Hunting Fishing,Colors=Black,,"10","FIXED_PRICE","USD",74.72,,,,"0",,,,"Aug-23-22 09:08:10 PDT","Jun-23-23 09:08:10 PDT","Camping Stoves","181386","","","NEW","","US","","",""
"403847663186",Portable Outdoor Gas Camping Stove Cooking System For Camping Hunting Fishing,Colors=Green,,"10","FIXED_PRICE","USD",74.72,,,,"0",,,,"Aug-23-22 09:08:10 PDT","Jun-23-23 09:08:10 PDT","Camping Stoves","181386","","","NEW","","US","","",""
"403848501342",30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,Color=Black;Gray;Camouflage;Green;Khaki,,"50","FIXED_PRICE","USD",29.53,,,29.53,"0","","0","","Aug-23-22 22:14:55 PDT","Jun-23-23 22:14:55 PDT","Daypacks","87122","","","NEW","","US","","",""
"403848501342",30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,Color=Black,,"10","FIXED_PRICE","USD",29.53,,,,"0",,,,"Aug-23-22 22:14:55 PDT","Jun-23-23 22:14:55 PDT","Daypacks","87122","","","NEW","","US","","",""
"403848501342",30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,Color=Gray,,"10","FIXED_PRICE","USD",29.53,,,,"0",,,,"Aug-23-22 22:14:55 PDT","Jun-23-23 22:14:55 PDT","Daypacks","87122","","","NEW","","US","","",""
"403848501342",30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,Color=Camouflage,,"10","FIXED_PRICE","USD",29.53,,,,"0",,,,"Aug-23-22 22:14:55 PDT","Jun-23-23 22:14:55 PDT","Daypacks","87122","","","NEW","","US","","",""
"403848501342",30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,Color=Green,,"10","FIXED_PRICE","USD",29.53,,,,"0",,,,"Aug-23-22 22:14:55 PDT","Jun-23-23 22:14:55 PDT","Daypacks","87122","","","NEW","","US","","",""
"403848501342",30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,Color=Khaki,,"10","FIXED_PRICE","USD",29.53,,,,"0",,,,"Aug-23-22 22:14:55 PDT","Jun-23-23 22:14:55 PDT","Daypacks","87122","","","NEW","","US","","",""
"403849675407",150PSI 12V Electric Portable Air Compressor Air Pump Auto Tire Inflator For Cars,,,"10","FIXED_PRICE","USD",46.48,,,46.48,"0","","0","","Aug-24-22 16:56:05 PDT","Jun-24-23 16:56:05 PDT","Air Compressors","30506","","","NEW","","US","","",""
"403849885329",Garden Hose-Powered Snow Foam Washer Gun Car Wash Soap Lance Cannon Sprayer,,,"8","FIXED_PRICE","USD",23.94,,,23.94,"5","","7","","Aug-24-22 20:14:59 PDT","Jun-24-23 20:14:59 PDT","Wash, Wax & Cleaning Kits","179458","","","NEW","","US","","",""
"403853491149", Car Trash Can Bin Waterproof Foldable Garbage Bags Hanging Trash Can Car Truck,,,"10","FIXED_PRICE","USD",22.1,,,22.1,"0","","1","","Aug-26-22 20:42:02 PDT","Jun-26-23 20:42:02 PDT","Garbage Cans","180117","","","NEW","","US","","",""
"403853521750", H11 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=4300K Yellow White;6500K Pure White;8000K Blue White,,"28","FIXED_PRICE","USD",18.35,,,18.35,"2","","2","","Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521750", H11 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=4300K Yellow White,,"9","FIXED_PRICE","USD",18.35,,,,"1",,,,"Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521750", H11 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=6500K Pure White,,"9","FIXED_PRICE","USD",18.35,,,,"1",,,,"Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521750", H11 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=8000K Blue White,,"10","FIXED_PRICE","USD",18.35,,,,"0",,,,"Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521752",9005/HB3 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=4300K Yellow White;6500K Pure White;8000K Blue White,,"30","FIXED_PRICE","USD",18.35,,,18.35,"0","","0","","Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521752",9005/HB3 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=4300K Yellow White,,"10","FIXED_PRICE","USD",18.35,,,,"0",,,,"Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521752",9005/HB3 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=6500K Pure White,,"10","FIXED_PRICE","USD",18.35,,,,"0",,,,"Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
"403853521752",9005/HB3 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,Color=8000K Blue White,,"10","FIXED_PRICE","USD",18.35,,,,"0",,,,"Aug-26-22 21:18:31 PDT","Jun-26-23 21:18:31 PDT","Light Bulbs & LEDs","172517","","","NEW","","US","","",""
