Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
4 LED Light Kit 2 White 2 Red for Traxxas HSP Redcat 1/8 1/10 RC Cars,313948404216,Non-promoted,10,555,1,-50.00%,14,-44.40%,75,191,-77.60%,274,-36.70%,202,353,3,1,1,1,0,0.40%,0,0.00%
Traxxas 6835 - Front Bumper Guard For Slash 4x4 Ultimate,313948404217,Non-promoted,10,"1,347",2,-83.30%,32,-22.70%,110,"1,155",-23.80%,48,-77.30%,"1,202",145,1,0,0,0,1,0.00%,0,0.00%
500pcs Universal Screws Box Repair Kit 1/10 RC Cars HSP SCx10 Traxxas Redcat,313948404218,Non-promoted,10,237,1,-66.70%,6,-41.70%,86,96,123.30%,48,182.40%,105,132,3,1,0,2,0,1.30%,0,0.00%
6 LED Light Kit 2 White 2 Red 2 Blue for Traxxas HSP Redcat 1/8 1/10 RC Cars,313948404220,Non-promoted,10,248,2,0.00%,13,15.40%,72,105,-52.90%,56,-27.30%,112,136,2,0,0,1,1,0.40%,0,0.00%
AIRFORTH Lipo Battery Fireproof Safe Bag For Charging & Storage,313962983619,Non-promoted,10,108,0,-,0,-100.00%,45,37,-15.90%,26,-10.30%,40,68,0,0,0,0,0,0.00%,0,-
2022 New RC Drone 4k HD Wide Angle Camera WIFI FPV Drone HD Camera Quadcopter,313971846661,Non-promoted,10,225,1,-,1,-66.70%,87,55,-74.80%,81,-35.70%,56,169,0,0,0,0,0,0.00%,0,-
Stainless Steel Chassis Armor For Traxxas TRX4 1/10 RC Crawler,313988263914,Non-promoted,10,190,4,-82.60%,12,-52.90%,116,33,-96.40%,25,-65.30%,77,113,0,0,0,0,0,0.00%,0,-
Mark4 5in/225mm FPV Racing Drone Quadcopter Freestyle Frame,314020501928,Non-promoted,10,"2,873",6,-64.70%,31,-43.90%,193,"2,593",9.60%,50,-59.00%,"2,608",265,0,0,0,0,0,0.00%,0,-
Adjustable Metal Front Bumper With Winch Mount & LED Light For Traxxas TRX-4,314027039250,Non-promoted,10,439,0,-100.00%,5,150.00%,30,310,-55.80%,94,-43.00%,312,127,0,0,0,0,0,0.00%,0,-
20KG 180° Metal Gear Digital Servo High Torque & Speed For RC Car Boot Etc,314027039252,Non-promoted,10,84,0,-100.00%,3,-25.00%,46,16,-63.60%,19,-5.00%,20,64,0,0,0,0,0,0.00%,0,-
Aluminum Steering Rod Link Linkage 313mm For SCX10 II 90046 1/10 RC Crawler,314033100112,Non-promoted,10,136,1,-,11,300.00%,53,47,-40.50%,24,-7.70%,49,87,3,0,0,3,0,2.20%,0,0.00%
Aluminum Steering Rod Link Linkage 324mm For SCX10 1/10 RC Crawler,314034022951,Non-promoted,10,93,1,0.00%,3,-33.30%,31,37,-68.60%,21,-22.20%,42,51,0,0,0,0,0,0.00%,0,-
Front Bumper Side Spotlight LED Lights For Traxxas TRX-4 Bronco 1/10 RC Crawler,314049143093,Non-promoted,10,681,1,0.00%,6,16.70%,40,541,-42.30%,93,34.80%,553,128,3,0,0,3,0,0.40%,0,0.00%
Roof/Luggage Rack Led Light Bar For Axial SCX24 AXI90081 1/24 RC Crawler Car,314049956251,Non-promoted,10,135,1,-50.00%,11,33.30%,66,26,-87.60%,31,-87.00%,29,106,0,0,0,0,0,0.00%,0,-
Front & Rear Adjustable Suspension Shock Mount Lift Kit for Axial SCX10 1/10 RC,314049995743,Non-promoted,10,85,3,50.00%,9,33.30%,34,26,-74.80%,13,-13.30%,31,54,2,0,0,2,0,2.40%,0,0.00%
USB 1.2v 3600mAh Rechargeable Glow Plug Starter/Igniter For Nitro Powered RC Car,314050099162,Non-promoted,10,686,12,-7.70%,33,-28.60%,169,155,-49.50%,317,-12.90%,205,481,1,0,0,1,0,0.10%,0,0.00%
Upgraded Carbon Fiber Chassis For WLtoys 1/28 RC Car K969/K979/K999/P929/P939,314051494770,Non-promoted,10,"2,362",0,-100.00%,10,-41.20%,89,"2,073",156.20%,190,-14.80%,"2,077",285,3,0,0,3,0,0.10%,0,0.00%
12V Spot Welder DIY Portable Battery Spot Welding Machine/Spot Welding Pens,314071029571,Non-promoted,10,183,0,-,1,-83.30%,130,29,-31.00%,23,-42.50%,30,153,0,0,0,0,0,0.00%,0,-
13-in-1 Hex Screwdriver Tool Kit/Set/Drill Heads For RC Cars Boats & Drones,314071044337,Non-promoted,10,258,5,-44.40%,10,-60.50%,73,61,-63.00%,109,-66.30%,77,181,1,0,0,0,1,0.00%,0,0.00%
Metal Upgrade Reduction Gear Dust Cover for 1/14 RC WLtoys 144001 124018 124019,314071072752,Non-promoted,10,"1,949",1,-87.50%,77,95.00%,162,557,-77.00%,"1,152",-44.00%,569,"1,380",12,1,0,11,0,0.60%,1,8.30%
