Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
1/10 RC Crawler Accessories Tow Chain Shackles Fuel Tank Extinguisher SCX10 TRX4,314381308970,Non-promoted,270,"2,798",42,20.00%,296,97.70%,"1,431",546,8.80%,483,37.60%,694,"2,104",56,9,0,47,0,2.00%,0,0.00%
5.8G Lollipop 3 2.5DBi Omni FPV Antenna RHCP SMA/RP-SMA for RC Drone,314027039456,Non-promoted,234,"4,575",36,63.60%,151,54.50%,272,"3,210",-9.40%,906,-18.00%,"3,279","1,296",32,13,0,18,1,0.70%,1,3.10%
4pcs RC Shock Absorber for 1/10 Axial SCX10 90046 TRX4 Upgrade,313988344690,Non-promoted,159,"2,091",16,-20.00%,18,-37.00%,185,"1,579",-27.80%,293,-64.80%,"1,631",460,12,2,0,9,1,0.50%,0,0.00%
XT60/XT30/XT90 T-Plug Connectors Male/Female Bullet Plugs (5/10 Pairs) For RCs,314439138989,Non-promoted,130,"1,358",8,-11.10%,51,63.90%,253,917,111.80%,129,279.40%,932,426,6,1,0,5,0,0.40%,0,0.00%
Emax ES08MA II 12g Analog Servo for 1/24 RC Car Axial SCX24 90081 Upgrade,314317077058,Non-promoted,120,435,0,-100.00%,10,-64.30%,107,261,-31.90%,57,-47.70%,265,170,1,0,0,0,1,0.00%,0,0.00%
Simonk Firmware Electronic Speed Controller ESC 10A-80A RC Heli/Quad/Multicopter,314317087893,Non-promoted,100,484,5,-78.30%,25,-25.00%,125,230,-37.80%,99,0.00%,237,247,3,1,0,1,1,0.40%,0,0.00%
INJS025 INJS035 Waterproof Digital Servos 25KG/35KG Torque RC Car Crawler Robot,314439165255,Non-promoted,80,317,2,-60.00%,30,-15.80%,70,133,95.60%,82,-8.90%,140,177,1,0,0,1,0,0.30%,0,0.00%
4PCS Hard RC Drift Tires 12mm Hex For 1:10 On-Road RC Cars HSP Yokomo MST Tamiya,314007415318,Non-promoted,70,"2,385",1,-90.90%,16,-37.00%,152,"1,966",-50.60%,250,-34.20%,"2,011",374,3,1,0,2,0,0.10%,0,0.00%
Turbo Racing 1:76 C64 C73 C72 C74 Drift RC Car with Gyro 1:76 RTR RC Car Kit,314317096856,Non-promoted,68,"70,449","1,192",110.20%,"2,096",206.40%,"4,589","47,251",101.10%,"15,321",219.80%,"49,468","20,981","1,014",269,21,255,469,0.70%,2,0.20%
CVD Drive Shafts Set For WLtoys 144001 144002 144010 124016 124017 124018 124019,314183072336,Non-promoted,67,"2,799",10,25.00%,83,232.10%,213,"1,783",-29.00%,710,-5.00%,"1,798","1,001",6,2,0,4,0,0.20%,0,0.00%
2 Pairs 7238F Propellers Foldable Props Blade Silver CW&CCW for DJI Mavic Air 2,313951026308,Non-promoted,60,28,1,-66.70%,2,-25.00%,16,3,-90.30%,6,-53.80%,4,24,0,0,0,0,0,0.00%,0,-
DUMBORC X6F/X6FG/X6DC/X6DCG 2.4G 6CH Receiver For RC Cars Trucks Boats Planes,314143602444,Non-promoted,60,672,10,-47.40%,64,124.20%,244,202,137.60%,152,133.80%,243,429,2,1,0,1,0,0.30%,0,0.00%
313Mm Wheelbase RC Body Shell For 1/10 RC Crawler Axial SCX10 II 90046 90047,314302204195,Non-promoted,60,"5,169",0,-100.00%,38,-53.10%,242,"4,640",-64.40%,249,-49.90%,"4,654",515,4,0,0,3,1,0.10%,0,0.00%
Metal CNC Front Rear Axle with Servo Base For Axial SCX10 D90 1/10 RC Crawler,314319598629,Non-promoted,60,204,3,-25.00%,6,-35.70%,75,87,-80.10%,33,73.70%,96,108,2,0,0,2,0,1.00%,0,0.00%
"RC Car/Boat Brushless Motor Combo - Transmitter, Receiver, and 2-in-1 ESC Set",314439048408,Non-promoted,60,"15,979",385,81.60%,"1,210",59.00%,"2,793","8,894",53.20%,"2,697",21.40%,"9,728","6,251",216,65,2,143,6,1.30%,2,0.90%
10Pcs/Lot 10Cm 15CM 30CM 50CM 100CM RC Servo Extension Cord Cable Wire 150Mm Lea,314439096297,Non-promoted,60,103,0,-100.00%,11,-38.90%,56,12,-55.60%,24,-54.70%,13,90,0,0,0,0,0,0.00%,0,-
5PCS JST-XH Balance Extension Cables 20cm Length 22AWG for RC Battery Chargers,314439116303,Non-promoted,60,499,11,175.00%,26,48.00%,200,148,-44.20%,114,3.60%,173,326,6,2,0,2,2,0.80%,2,33.30%
Heavy-Duty Steel Drive Shaft for 1/10 RC Crawler Axial SCX10 TRX4 Redcat Gen8,314439164065,Non-promoted,60,623,3,-50.00%,14,-39.30%,74,443,-63.50%,89,11.30%,449,174,5,1,0,4,0,0.80%,0,0.00%
360° Metal Work Station Assembly Platform for 1/10 1/8 RC Cars,313949721066,Non-promoted,50,600,2,-71.40%,3,-64.30%,48,528,34.40%,19,-53.70%,538,62,0,0,0,0,0,0.00%,0,-
Upgraded Chassis & Gearbox Kit For MINI-Z/WLtoys K969/K989 1:28 RC Car,314051356445,Non-promoted,50,"8,156",68,-2.90%,330,-7.40%,889,"3,231",-26.60%,"3,638",10.00%,"3,434","4,722",81,7,25,55,0,0.80%,0,0.00%
WLtoys RC Car 144001 124019 General Metal Upgrade/Dress-up Kits 14-Piece Set,314071100440,Non-promoted,50,609,2,-50.00%,28,7.10%,96,190,-68.20%,293,-33.70%,196,413,3,0,0,2,1,0.30%,0,0.00%
Billet Aluminum Upgrade Chassis And Suspension Kit For Wltoys 1:14 144001 RC Car,314213944816,Non-promoted,50,"1,175",7,-22.20%,20,-10.00%,103,405,-62.80%,640,30.90%,420,755,3,0,0,3,0,0.30%,0,0.00%
1/10 RC Car Abs Roof Luggage Rack TRX4 SCX10 MST Tamiya,314270542857,Non-promoted,50,508,0,-,9,800.00%,67,274,35.60%,158,26.40%,283,225,2,1,0,1,0,0.40%,0,0.00%
Metal Front and Rear Arm Code For Wltoys 144001 144002 124018 124019 RC Car,314298453745,Non-promoted,50,66,0,-100.00%,17,750.00%,19,9,-55.00%,21,-4.50%,10,56,0,0,0,0,0,0.00%,0,-
Metal Upgrade Second Floor For Wltoys 124016 124017 124018 124019 1/12 RC Car,314298455065,Non-promoted,50,938,1,-,42,168.80%,153,374,24.30%,368,4.00%,380,558,3,1,0,2,0,0.30%,0,0.00%
Metal Chassis & Gear Box Upgrade Kit For WLtoys 1/12 124016 124017 124018 124019,314316987248,Non-promoted,50,700,6,-45.50%,46,26.80%,114,136,-36.40%,398,-33.10%,148,552,0,0,0,0,0,0.00%,0,-
Metal Chassis & Gear Box Upgrade Kit For Wltoys 1/14 144010 144001 144002,314317112937,Non-promoted,50,653,1,-75.00%,31,-25.60%,102,416,122.50%,103,-14.20%,421,232,6,0,0,4,2,0.60%,0,0.00%
ESC Distribution Board w/ T/XT60 Plug & 3.5mm Banana Connectors for FPV,314470419671,Non-promoted,50,262,0,-100.00%,21,75.00%,64,106,55.90%,71,-26.80%,106,156,2,1,0,1,0,0.80%,0,0.00%
Surpass Hobby 2G/3.7G/4.3G/6G/8G Micro Digital Mini Servo For RC Car Drone Plane,314593665142,Non-promoted,50,231,0,100.00%,51,-,145,0,100.00%,35,100.00%,0,231,3,0,0,3,0,1.30%,0,0.00%
Wltoys 1/14 1/12 RC 65mm Metal Wheel Rim And High Grip Rubber Tires Tyres,314183016845,Non-promoted,49,"1,887",21,320.00%,40,258.80%,191,642,165.30%,993,979.30%,676,"1,211",21,5,0,15,1,1.10%,0,0.00%
Metal Chassis & Gear Box Upgrade Kit For WLtoys 1/12 124016 124017 124018 124019,314071100438,Non-promoted,48,767,9,0.00%,47,51.30%,144,394,-24.70%,173,-8.00%,417,350,3,0,0,2,1,0.30%,0,0.00%
4pcs Alloy RC Wheel/Rims & Drift Tires For WLtoys K969 K989 P929 1/28 RC Cars,314054101369,Non-promoted,40,"1,735",1,-,8,28.60%,93,"1,044",-37.00%,589,-23.90%,"1,045",690,6,0,0,5,1,0.30%,0,0.00%
1/32 Tesla Model S Metal Diecast Model Car Collection,314142552436,Non-promoted,40,898,2,-50.00%,15,-62.20%,151,521,-57.80%,209,-64.00%,532,366,27,1,5,4,17,0.60%,0,0.00%
1/32 Bugatti Lavoiturenoire Metal Diecast Car Model Collection,314142552438,Non-promoted,40,"3,470",95,-36.70%,123,-32.10%,477,"1,808",-49.80%,967,-19.90%,"2,029","1,441",48,9,7,26,6,1.00%,3,6.30%
4pcs 112mm 1/10 Short Course Truck Tires Wheel With 12mm Hex For Traxxas Arrma,314270525928,Non-promoted,40,115,0,-100.00%,0,-100.00%,24,72,-78.60%,19,-76.50%,73,42,1,0,0,1,0,0.90%,0,0.00%
Multi 2S-6S Lipo Parallel Balanced Charging Board For RC Batteries,314298420409,Non-promoted,40,368,0,-100.00%,5,0.00%,80,211,80.30%,72,94.60%,216,152,2,0,1,1,0,0.30%,0,0.00%
Metal Swing Arm Accessories Upgrade Kit For Wltoys K989 1:28 RC Car,314298440128,Non-promoted,40,90,2,-71.40%,4,-50.00%,54,11,-64.50%,19,-48.60%,13,77,1,0,0,1,0,1.10%,0,0.00%
DYS D2830 2830 750KV 850KV 1000KV 1300KV Brushless Motor,314302161943,Non-promoted,40,147,3,-40.00%,9,-60.00%,92,14,-72.00%,29,11.50%,17,130,1,0,0,1,0,0.70%,0,0.00%
RC Car Roof Led Light Bar For 1/10 Rc Crawler TRX-4 SCX10 SCX24,314302185094,Non-promoted,40,175,2,0.00%,11,-50.00%,67,48,-35.10%,47,-63.60%,50,125,1,0,0,1,0,0.60%,0,0.00%
RC Car LED Headlights 2/4/6/8 Lights 70cm Length 3/5mm Light for Model Cars,314439126397,Non-promoted,40,172,0,-100.00%,11,-31.30%,52,55,-59.60%,54,-37.20%,56,116,0,0,0,0,0,0.00%,0,-
RC Crawler LED Bright Spotlight for 1/10 Axial SCX10 Redcat Gen8 and More,314439154368,Non-promoted,40,196,5,25.00%,25,15.40%,59,90,-17.40%,17,-37.00%,100,96,1,0,0,1,0,0.50%,0,0.00%
Analog Metal Gear Servo & Mount & 15T Arm for RC 1/24 Axial SCX24 EMax ES08MA II,313964362870,Non-promoted,39,823,26,-13.30%,19,-23.70%,138,586,-40.90%,54,-71.00%,641,182,2,1,0,0,1,0.10%,0,0.00%
Full Suspension And Steering Upgrade Kit For Wltoys K969 K979 K989 1/28 RC Car,314203994995,Non-promoted,39,"1,477",7,-46.20%,66,28.10%,237,604,-22.70%,563,-1.10%,617,860,9,2,0,6,1,0.50%,0,0.00%
Metal Front And Rear Upgraded Bumper Set For Wltoys K989 K979 K969 1/28 RC Cars,314204030777,Non-promoted,39,"4,204",5,400.00%,68,563.60%,162,"2,381",-73.10%,"1,588",-17.40%,"2,391","1,813",13,3,0,9,1,0.30%,0,0.00%
CNC Aluminum Front & Rear Axle For Axial SCX10 II 90046 90047 1/10 RC Crawler,314033100113,Non-promoted,30,95,1,-96.70%,7,-75.80%,26,49,-35.50%,12,-25.00%,54,41,0,0,0,0,0,0.00%,0,-
Gray Billet Aluminum Front and Rear Portal Axle For SCX10 1/10 RC Crawler,314034044459,Non-promoted,30,363,2,-93.50%,15,-62.20%,62,108,-72.80%,176,-41.70%,114,249,4,1,1,2,0,0.80%,0,0.00%
Front & Rear Bumper With Tow Hook/Trailer Hitch/Led Lights For Traxxas TRX-4 RC,314050152183,Non-promoted,30,452,2,-66.70%,33,-7.90%,108,231,-70.30%,78,-41.40%,245,207,2,2,0,0,0,0.40%,0,0.00%
Billet Aluminum Adjustable Motor Mount For Wltoys 144001 1/14 RC Car Buggy 1303,314099247846,Non-promoted,30,199,0,-100.00%,3,-81.30%,60,73,-55.80%,63,-37.60%,77,122,0,0,0,0,0,0.00%,0,-
5/6/7 Inch Carbon Fiber Quadcopter Frame APEX FPV Freestyle Racing Drone Frame,314124568950,Non-promoted,30,"4,357",22,-55.10%,90,-61.00%,411,"3,141",-31.30%,693,-30.70%,"3,192","1,165",14,6,2,7,0,0.30%,0,0.00%
1/32 Ferrari Laferrari Metal Diecast Model Car Collection,314142552437,Non-promoted,30,"1,889",1,-50.00%,15,-30.40%,84,"1,485",-46.60%,304,-67.90%,"1,490",399,44,1,21,14,8,0.80%,0,0.00%
1/32 Honda Civic Type R Metal Diecast Model Car Collection,314143450762,Non-promoted,30,740,2,100.00%,3,-54.50%,61,575,-43.30%,99,-66.70%,585,155,23,0,7,5,11,0.70%,0,0.00%
Complete Front Rear Differential Portal Axle with T-lock For TRX4,314270620204,Non-promoted,30,861,11,-35.30%,15,-25.70%,38,660,-22.20%,137,-48.70%,673,188,21,1,12,8,0,1.10%,0,0.00%
Adjustable Elastic Ball Differential For Wltoys K989 K969 K979 1/28 RC Car,314298429609,Non-promoted,30,48,1,0.00%,1,-33.30%,28,4,-42.90%,14,-36.40%,6,42,0,0,0,0,0,0.00%,0,-
