"﻿Some details are not available for inactive listings and campaigns."
""
"Start date","End date","Campaign name","Campaign ID","Campaign start date","Campaign end date","Item ID","Title","Price (Current or Last Price)","Quantity available","Listing start date","Listing end date","Promoted Listings Impressions (via eBay Placements)","Total Promoted Listings Clicks","Total Promoted Listings Sold quantity","Organic Sold Quantity","Total Quantity Sold","Promoted Listings Conversion rate (Promoted Listings Sold quantity/Promoted Listings Clicks)","Promoted Listings Contribution (Promoted Listings Sold quantity/Total Quantity Sold)","Total Promoted Listings Sales","Ad fees","Return on Ad spend (Sales/Ad fees)","Average cost per sale","Promoted Listings Clicks (via eBay placements)","Promoted Listings Clicks (via external placements)","Promoted Listings Sold Quantity (via eBay placements)","Promoted Listings Sold Quantity (via external placements)","Promoted Listings Sales (via eBay placements)","Promoted Listings Sales (via external placements)","Ad fees (via eBay placements)","Ad fees (via external placements)","Promoted Listings Conversion Rate (via eBay placements)","Promoted Listings Conversion Rate (via external placements)","Organic Clicks","Organic Impressions"
"Jun 05, 2023","Jun 06, 2023","Campaign Apr 09 2023, 20:31:48","13680635015","Apr 09, 2023","","404238933018","Ulanzi  F38 Universal DSLR Camera Gimbal Arca Swiss Quick Release Plate","$ 19.98","70","Apr 09, 2023","Jun 09, 2023","358","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","2","112"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 05 2023, 13:59:06","13587767015","Mar 05, 2023","","404189646646","TELESIN Adjustable Space Waterproof Carrying Bag for Gopro/Insta360/Osmo Action ","$ 24.98","20","Mar 05, 2023","Jul 05, 2023","2","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","13"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 17 2023, 09:58:47","13617795015","Mar 17, 2023","","404207134526","T-aped Tripod Stand Background Backdrop Photography Adjustable Support System Ph","$ 26.98","50","May 10, 2023","Jun 17, 2023","4","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","0"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 05 2023, 13:59:06","13587767015","Mar 05, 2023","","404189779576","Switch Joy-con Repair Kit Replacement Joystick Thumb Stick With Repair Tool","$ 16.98","90","Mar 05, 2023","Jul 05, 2023","62","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","6"
"Jun 05, 2023","Jun 06, 2023","US Campaign Sep 29 2022, 09:19:39","13220607015","Sep 29, 2022","","403970425458","Sur-Ron Extended Foot Peg Kit Upgraded CNC Foot Pegs For Sur Ron Lightbee Segway","$ 126.98","9","Oct 31, 2022","Jun 30, 2023","41","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","21"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403878070386","Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models","$ 23.98","30","Sep 29, 2022","Jun 09, 2023","198","1","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","1","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","2","204"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403878070387","Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S","$ 39.98","30","Sep 29, 2022","Jun 09, 2023","174","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","1","77"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403881076709","Squeegee For Shower Mirror Window Glass Door Home Office House Cleaner Car Glass","$ 12.99","20","Mar 05, 2023","Jun 11, 2023","2","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","3"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 01 2023, 22:31:49","13580451015","Mar 01, 2023","","404184793652","SPTA Car Wash Mitt Microfiber Gloves Effective Washing Washable Lint Free","$ 15.98","10","Mar 01, 2023","Jul 01, 2023","7","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","10"
"Jun 05, 2023","Jun 06, 2023","Campaign Feb 07 2023, 09:50:34","13524293015","Feb 07, 2023","","404120020113","SPTA Boar Hair Car Detailing Brush Set - Clean Air Vents, Engine Bays, Dashboard","$ 18.98","10","Jan 31, 2023","Jun 21, 2023","1","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","1"
